 Tweet	Class
ليكو بيكتب عربي هايدا شو اسمو ايه والله لك ليخرب عقل لشو بدك فيما تقلع على حالك و خليك باليت 	normal
يألله ابدأ لشوف يا بطل نبيه بري، سعد الحريري، حسن نصرالله، أمين الجميل، جبران باسيل، نقولا فتوش، ولي…	normal
هي وقفت على زعابيط التويتر في زعابيط عملوهم وزراء ونواب	normal
والبلطجي جبران باسيل المال لمعه حلال ولله حراميا شيخة	abusive
صح للحقد ولا البغض راح يوصلوا لنتيجة يا ريت بيستحي على كبروا عيب بالنهاية اهلا وسهلا ب… 	normal
قبل ما تقترح شوف نفسك على المرايا 	normal
انت حقآ وقح عاهرة تحاضر بالعفة 	abusive
جبران باسيل لان فيه نشم رائحة الغيرة والحماس لكرامة لبنان	normal
وهاب غياب سوريا عن القمة العربية افقدها اهميتها 	normal
نحنا جماعه ديلفيري م منفهم نترجم كلام المثقفين امثال جبران باسيل اوك	normal
عم تحلم،،، 	normal
نتمنى انك تخرس خالص  	abusive
عم يتسابقو بتحريف و بقلب حقايق مقابلة جبران باسيل يلي واضحة متل عين شمس متل ما وطنيتو واضحة متل عين الشمس و إبداعو و فخرو بل…	normal
بسيطة هلق بيفقعون خطاب كلو مشاعر وشوية طائفية بيمشي الحال وبتروح الريحة	normal
مين قدر يوصّل رسالة وجوب مشاركة سوريا بالقمة العربية وعدم مقاطعتها بطريقة افضل، نبيه بري ام جبران باسيل؟ الاول استعمل البل…	normal
فلوس قطر مهمتها السيطره على الحيوانات والبهايم وفي الاخير يشتغلو في القواده هذه نهاية كل شخص يدخل او يهتم بقطر 	hate
اللي ما فهم بعد إنو الأخبار اللي عم تطلع كل يوم ع جبران باسيل هيي تلفيقات أقل ما يقال عنّا تافهة ، بيكون ساذج بأقل…	normal
كم تعداد الجيش الاردني؟	normal
من اعطاك مفتاح بيروت حتى تمنع من تريد ،وتستقبل من تريد بيروت عاصمة مشرعة الابواب 	normal
ما فهمت من المخطئ 	normal
صدق الوئام لأن الكتلة السياسية التي تقود اليوم قاطرة العهر السياسي لم تتوانى في هتك المسلّمات وتجاوز ك… 	abusive
أنت أكيد بتشبه وليد جان بولاد 	normal
سيرى الناس كيف سيزحف كل من أساء لسوريا وحلفاء سوريا للأعتذار نادمين خانعين 	normal
ما ابيخك ولوووووووه 	abusive
ما بيستقو الا على لضعاف 	normal
إزا مانك قد الخبز والملح روح كول هوا مع أمثالك ياغالي	abusive
جبران باسيل ل كارولين صرنا معودين على الخوزئة قبل امير قطر فيه كارلوس سليم اغنى رجل بالعالم مسحنا صب…	abusive
انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني	hate
يجب ان تعمم على كافة وظائف الدولة 	normal
صدام بالكندرة خلاه يأسلم 😂	abusive
والله العظيم انا مش فهمان ولا كلمه قالها وهاب حدا بس يترجملي 	normal
وقاتلة كمال جنبلاط وقاتلة الحريري وجبران التويني وسمير قصير وسليم اللوزي والشيخ حسن خالد وكتار من الاحرار في بل… 	normal
ديما اكتر شخص مستفز عا تي في هوا الحريه	normal
شو يلي بيضه؟ العرب مو بيض	normal
الله ينصر المسلمين والعرب من داعم الارهاب المجرم تميم 	abusive
مي شيدياق ناحسة سما هالحكومة يا جماعة غيروها بركي بيمشي الحال	hate
بدنا نيزك او شي قنبلة هيدروجينية 	normal
هيدا انسان تافه وكاذب كل هدف المقال القواص على جبران باسيل	abusive
خليك عم تجرب تفتن، هيدة شغلتك 	abusive
من أهم الإشارات في حديث السيد نصر الله ذكر وثائق وكيليكس بالنسبة للثقة بالرئيس عون والوزير جبران باسيل	normal
بعد تأكيده أن لا خلاف إيديولوجي مع اسرائيل، وزير خارجية العهد القوي جبران باسيل يؤكّد في مقابلة مع قناة سيإنإن أن أمن…	normal
هدا الشعب اللي طرد الاسرائيلي ، لازم يصحى يوم ويطرد أصحاب المواكب ، لبنان كان درة المنطقة ، مو حرام… 	normal
كول هوا يامهجن ياخلية نحل قذرة منتشرين من حر ماتونسون	abusive
وزير الخارجية اللبناني جبران باسيل يبعتلو حمى يقول عمدة قرية شرق سلوى كسر الحصار على قريته بحضور القمة	abusive
شكرا معالي وزير العدل 	normal
هيك بتزعل عمك السيء نصر الله وعمتكن كلكن شريفة إيران أنت وتميم وأبو صواويخ تحت سيادة إيران وكلكم أل… 	hate
منيح تعلمت شي منيح من الفرس الصبر 	normal
من رفع الدعوى ؟ وأيّ الجوابين أفصح وأتمّ قولا 	normal
كول هوا  مك على ام فالفيردي	abusive
التنين نفس الخريه      	abusive
معك حق اخي ولكن هو من اتى بهم 	normal
روح انقبر ضب حالك 	abusive
هههههه أعصابك يا هبيلة	abusive
ولي انتي قوات انتي مش مع المناصفة ؟ لكن سكري هالدكانة بمعراب ونزلي التحقي بالحزب ال… 	normal
باسيل لإعادة النازحين ودعم قطري للبنان باسيل يبحث لحل عقدة تشكيل الحكومة	normal
لا تخربوا أوطانكم كما فعل العرب	normal
لو بدا تتاجر كانت من أول يوم أعلنت مرضها بس يا سيد لي كشف أنو مريضة هوي المركز لي تعالجت فيه من بعد شفائها ورجعت هيي أعلنت هلق إذا هيي ضد توجهاتك السياسية مش ضروري تكون رخيصة هيي إمرأة إرادتها قوية وبحقلا متلا متل	normal
طيب نحكي منطق معقول الشيخ نعيم حسن يقول على الملأ نؤيد سياسة وليد جنبلاط؟ معقول يعملوا إجتماع من لون… 	normal
يا استاذ وئام اتحدث معك من السويداء ونحن نقف معك ونشد من ازرك ولكن يبدو ان الشيطان الاكبر يقبع بالمختارة 	abusive
ئوبة كلاب خربوها وقعدوا على تلتها	hate
دولة رائس حكومي في ولد ما اله كلمة 	normal
اسأل سيدك حسن نصر الله كم قبض من قطر لبناء الجنوب لن تكون اكثر من عبد 	abusive
إذا كنت تؤيد سياسة جبران باسيل أو تعارضها، إلا أنه لا يمكن لأي لبناني وطني أن يعترض على عبارة واحدة ممّا جاء في كل…	normal
نريد وطن ولاء شعبه وحكامه ومسؤوليه للوطن نريد وطن يعيد لابنائه امواله المنهوبة انا لتشريع قانون استعادة الاموال المنهوبة 	normal
عثمان يحمي الفاسدين في قوى الامن مما يجعله شريكهم 	normal
عفوا أنت مخطئ الموضوع عنزة ولو طارت المواد الإعلامية التي تستعمل لإبراز موقفا ما مش لازم ت… 	normal
مايحتاج ارد عليك يكفي ردود احلى وأطيب وارقى شعب لبنان دوم في قلب كل قطر  ربي يحفظكم ياهل لبن… 	normal
وانت اول عاهرة عاهرة بشار الأسد 	abusive
سوال وجيه 	normal
كلو مستفيد طبيعي يتم عدم المبالاة 	normal
سبحان الله وين ما بروح بياخد الخراب معو شو هالبومة هيدا ولك شو هالغراب انشالله يهرب عالسفارة و يبعتوا عاسرائيل يستلم وزار…	abusive
صح طلعت ريحتكم يا اسخف…	abusive
يا زلمي لي ما عم تفهموليد بيك زعيم الجبل الاول والاوحد حطا بدينتك 	abusive
جبران باسيل هدد إسرائيل بأمنها وقال إذا كانت إسرائيل تريد حقاً أن تضمن أمنها وهذا من حقها، اذاً عليها…	normal
ولنا أيضاً مهارة تجميل الواقع الزبالة، مثلاً صور شوارع دمشق معالجة بالألوان والفلاتر والإضائة بشكل مبالغ فيه، لدرجة لا تحاكي…	normal
رح تبقى دمشق شوكيه بعيونن 	normal
بريطانيا ومعها توجهات مرتبة بأوروبا متحمضة من روسيا من بعد قصة سكريبال ترامب انسحب من الاتفاق النووي ومتحمض لإيران وممكن يلاقي دعم لأي عملية أو مقاطعة ضدها بعد ما حل مشكلة كوريا فعلياً محور المقاومة بالرغم من انتصاراته العسكرية وضعه السياس	normal
تسلم يا حبيب الشام 	normal
الملفت بهيك حمار معبا ببنطلون مو انه منظومته الاخلاقية عديمة الأخلاق تماما، وإنما اعتقاده انها متفوقة على غيره	abusive
كلنا اللواء عثمان  اما المجرم مهما طال الزمن مكانه السجن والمحاسبه 	abusive
كفّوا ألسنتكم عن روح القائد الخالد،يلعن روحك يا جولاني كوليرا	abusive
تعوا نتفق ع شغلة يا مسؤولين، يللي بدّو يسرق يسرق بس بلا ما يخلينا نعرف 😎	normal
جريدة اخبار وصرمايتنا سوا معانيك هيدا كلام من مدرستك مدرسة صرامي هيك تعلمتها منك هيدي الجملة 	abusive
هلأ صرت عروبي ما كل عمرك تابع لإيران و تعليمات الحزب 	normal
لنك رخيص 	abusive
للخروف عون 	abusive
رغم الظروف الي عاشها لبنان بالمرحلة السابقة من حرب للإغتيالات وغيره ، ما شفت متل الحالة الي ن… 	normal
مرة جديدة ضربة متعمدة لل عهد القوي 	normal
أقترح عليك ان تسدو لبوزك 	abusive
مصيرك يا وئام الى مزبلة التاريخ والايام بيننا 	abusive
شكرًا على طول بالك يا اخ نزار وأنك مش عّم تاخود الأمور بشكل شخصي	normal
يا زلمي بشرفك اقرأ التعليقات الناس قرفتك على فرد نغمة غيِّر 	abusive
ما انت والرئيس من فرد خميرة، واللي جاب الرئيس، وقفك على اجريك ، وماشيين سوا بمخطط التفرقة 	normal
انو هالزلمة الأستاذ جن بلاط مش عارف حالو شو بدو طيب حدا يعلمو ع شي شغلة يلتهي فيها ويفلقنا بريحة طيبة يا قرد 	abusive
الوطن يحتاج لرجال تقف معه لا عرصات تقف ضده الوطن غلي الوطن عزيز كما قال المقبور سيدك اية الله حافظ اسدي… 	abusive
نعم والف نعم نعتز بك ناطق بكلمة الحق 	normal
ما نايكن الا جبران باسيل عن جديد منا وجر	abusive
قد يكون كما تدعين لكن له مبدأ واضح مو متل العواهر الي عندك 	hate
لا تلومونه وتنتقدوه فأنتم تركتم الساحة خالية له ولأسياده	normal
راح خبرك شو شايفة ب جبران باسيل	normal
مبادرة بيروت للسلام عام بحضور الرئيس المقاوم اميل لحود ورئيس مجلس النواب الاستاذ نبيه بري رئيس حركة امل، تحدثت عن سلا…	normal
هوا بوجهك يا هوا قليل ادب ع هيك الفاظ كول هوا ونقلع من هون بس فاضي الك ولاشكال ابعتلك ع الصراحة وعفكرة عرفتك وتفكرش…	abusive
الجيش الاسود لا تعليق بس هيك 	normal
يا رب تموت	abusive
القناة السابعة العبرية تقول نصرالله بحوار لقائي انتصر على اسرائيل انقبر كول هوا وتعلم تبتلع سمك متل م…	abusive
جبران باسيل وتياره حليف استراتيجي للمقاومة حتى يقول هو غير ذلك او يقول السيد حسن نصر الله غير ذلك كلام البعض عالتويتر…	normal
طالما الدليل عند القاضي ليش ما بقول وبخلصنا لازم نعرف القاتل 	normal
هل هناك مصلحه مشتركه بين جبران باسيل و نبيه بري بشأن التطبيع مع سوريا ؟ طب ليش الثنائي الشيعي ما بيوثق بف…	normal
ما يسمى مراكز الأبحاث التي تمولها بلدة قطر أطلقت حملة علينا لأننا قلنا لا أهلاً ولا سهلاً لأمير الإرهاب هل كان ينتظ… 	normal
خليك مع كلبك واترك البلد ما ناقصو فتن	abusive
مشكله يوم يتكلم العرص عن الرجوله 	abusive
لأنك طول عمرك غبية ههههه	abusive
طيب ياخي تلحس انت ويلي لاحقك علم لا ينفع متل الخرى بس شغل صف كلام بلا اي طعمة	abusive
كول خراااااا 	abusive
نشالله بيفركك عزرائيل وانت والصوص تبعك 	abusive
يديم هالضحكة قائد 	normal
وش تغير يادكتور هذا اللي يهاجم السعوديه وقادتها ليل نهار اصبح وطني 	normal
لمين الاهلا وسهلا لبشار الأسد يا عيب الشوم عليك انت عميل صغير وراح بتضل عميل وصغير 	abusive
مفتي القتل صهيوني بامتياز امثال القرضاوي مرض عضال في جسد الأمة 	abusive
لا يصح الا الصحيح التحيّه والأجلال لمشايخنا الحقيقيين الملتزمين بديننا الشريف فوالله الروح بترخص لكم أيها ال… 	normal
إنها لمهزلة حقيقية أن نحوّل الفشل إلى شيء نفتخر به مكابرة ونكران وانعدام تام للمسؤولية	normal
يا رجل خليهن ورى أمريكا لو لحقوا الصين مشان المصاري وصاروا يمشوا على الستانداردز تبعها بحقوق الإنسان ما عاد تلاقي لا تويتر ولا حذيفة يغرد عليه	normal
لا تجحش محسوبك اجحش خخخخخ	abusive
اول مرة بعرف انو الصرصور بيضحك 	abusive
كول هوا دعسوا على راسك وراس كل خاين امثالكم                                    	abusive
حمار الشغل	abusive
التلك اخرس خراس	abusive
لمن يهلل لوديعة قطر عليه ان يعلم أن الوديعة مربحة لمن يودعها لأن فائدتها عالية وهي ليست هبة كما إعتقد البعض ثم لا أ… 	normal
افتخر بمدرسة العماد العون	normal
ولمن يهمّه الأمر ، وليد جنبلاط تزوج من أيرانيه ومن ثم تزوج من شركسيه وأنجب منها ثلاثة أولاد غير دروز وك… 	normal
كوووووووول خرااااااا ولاااااك 	abusive
كلامك مردود عليك 	normal
يكفي جبران باسيل شرفاً انك تهاجمه يا قطيش	normal
كلام جبران باسيل بالأمس عن أمير قطر مدفوع الثمن و الفاتورة برسم التسديد من خزينة الشعب القطري المنهوبة ، و يصدق المث…	normal
هاد شرموط شوف أكاونته قاعد بكندا	abusive
كم من مليارات في ذمتهم ؟ 	normal
سخيف 	abusive
سدّ نيعك انت وعم تحكيني فاهم؟؟؟ ههههه 😎 دراما لبنانية	abusive
بيساهل ابن زانية صباحك نور استاذنا 	abusive
أن ننسى لا ننسى شهداء الدامور ال الذين سقطوا…	normal
قولارجي طلع اخو الدياني 	normal
قطيش هو كلب الحراسة الذي وظيفته أن ينبح حماية لأسياده وأولياء نعمته الذين يكرمونه بالعظمة آخر النهار	abusive
كلو اخرا من بعضو بس ما حدا اخرا منك ومن بشار فكر فيها 	abusive
اي كول هوا شو دحشك لو امراتي حكا هيك كان طبطبت عليه	abusive
خبر يبشر بالخير وببدء بناء الدولة 	normal
عيب الكذب كن صادقاً ولو مرة واحده 	normal
ولاك انت بدك مين يضحك عليك انت كركوز بحد ذاتك حقك فرنك إيام الغلا وكشتبنجي عايش عالتشبيح وكل العالم بتعرف من وين مصرياتك… 	abusive
ومن اللي رجع سفارته في دمشق ؟ اغبياء انتو؟؟؟ 	normal
معالي الوزير خليك بالجاهلية وخازوق الجاهلية وشو بدك بقطر 	hate
ما في غبي الي انت ياحوان كول هوا وسكت	abusive
مطلوب تعميم هذه التجربة في كافة الوزاراة والاقتداء بعدالة وزارة العدل 	normal
صحيح ميه وانت منهم بس لفرق بينكم انت لمصلحه سوريا وهم لمصلحه جيوبهم 	normal
العوني ما الو رب	hate
نحتاج الى قيادات جديدة 	normal
ما جبران باسيل نفسو لي قال بمقابلة تلفيزيونية عالميادين انه ما عندو مشكلة مع اسرائيل و على حصولها على حقها بالامان؟	normal
زطم مش بيئه؟ حتى كول هوا اشيك 	abusive
حركة امل مستاءة جداً من حزب الله لانه يقدم دعم وتغطية كاملة ل جبران باسيل والتيار بكل الملفات	normal
عندكم زباله يا رجل اكثر من عدد سكان بيروت ، ولك انتي مبين من شكلك انك زباله نايت كلوب لانك انيق وقذر في نفس الوقت	hate
وزير الخارجية اللبناني إلى سوريا قريبا	normal
دخلك ليش ما بتسمي حاجي نازل ألغاز، مين الابطال ، شو الخدمات، يا زلمي بق البحصة ولا كل شي بدك تقبض حقو؟ 	normal
صبح ربك او الاوامر جاي بكير لتجعدن ماحده شيطان اكتر منك 	abusive
ولك حل عنا حروب من ما طلعت ما خلصت الحكايه على أساس انتوا جبتوا الخير على لبنان بيكفي مزبلة هيدا… 	abusive
صدقني مش راح يجيب اخرتك الا اللواء عماد عثمان إن شاء الله على ايدو شفل حلفائك كم عمرو بناية بلا ترخ… 	normal
اخرس يا كلب أيران 	abusive
العلاقة القائمة بيننا وبين رئيس الجمهورية لم تتزعزع مطلقاً مبنية على الثقةنحن حزبين إثنين ولسنا مطلقاً حزباً واحداًأ…	normal
كرهت او أحببت جبران باسيل عليك أن تعترف بأنه قدها وقدود، بالكلام والأفعال	normal
نرجو ذلك يا معالي النائب 	normal
من خلال بعض المعلومات والتسريبات التي حصل عليها أصدقاء الحركة اللبنانية الحرة أكدوا لنا أن كلفة تغطية طلة وزير الخارجية جبران ب…	normal
انو عم تتعاطى خرا بكوكائين ولَك مين انتي ومين شايفك من ارضك قال وفد قال ودخلك الوفد بالستيانات باعتو 	abusive
اي شرف ليش انتو عندكم شرف 	abusive
هذا يكره السعودية ودايم يسبها بس حاليا يحاول يتقرب منها فقط 	normal
بحكيكي بالشرق بتجاوبي بالغرب	abusive
فضائح فساد و فضائح آبار الله يعين المساكين 	normal
يا اخي روح عيش بسوريا كل نهار بتحلف وحياة بشار الأسد روححححححححح و القلب داعيلك ريحنا و أنا بعطيك مطربا… 	normal
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك	abusive
اراكوز 	abusive
يا بهيم الشاعر عم يحكي عن سوريا الارض مش عن نظام سفاح قاتل ونقطه ع السطر 	abusive
جبران باسيل ل سيإنإن أمن إسرائيل هو حق	normal
هههه منهنيك علي لهيدا اللحام اذا دولة ايران العربية هيك طلعت معو و اذا كلكن هيك شي بخري عليكن 	hate
خليك بقضية الخاشقجي شو بدك بالوزير جبران باسيل	normal
محل النقط جنبلاط 	normal
كل مين بيشد على مشدو كمان 	normal
وهل تعلم انت الفرق بين دمشق المذكورة عاصمة الأمويين و دمشق نظام البعث الحاكم في سوريا، ان كنت لا تعرف ف… 	normal
لك شو صاير معك يا زلمي ارتقي شوي صاير متل الولد يلي بياكل فلقه وجاي يبكي عند ابوه خليني خبرك شي ع طري… 	normal
اوقفت القوى الأمنية الناس على بعد حوالي كيلومترا من المطار بسبب مرور الوفود العربية الى القمة الفاشلة، تخيلوا عجوزا يهرو…	normal
دخلك كم شيخ عقل صار في بلبنان بهمتكم؟ 	normal
اديش عثمان داعس على راسك يا وهاب المنافق على كل حال عثمان هو الكسبان اذا كنت تكره فهو في عقلك وان كنت ت… 	abusive
شو هالدولة لي نحنا عايشين فيها معقول ماحدا قادر يخرسك أو يشلحك بالسجن قاتل وسارق وتطلب السجن لغيرك شو هالوقاحه لي عندك 	abusive
كتلة الاخوة كتّاب العدل بيطلعلهم وزير بالحكومة؟ عقدة بيت نعيم 	hate
مين هالشيخ ،، ومين وهاب ومين طلال ،، مع بعضن مش مخلصين لا بالدنيي ولا بالآخرة ،، مااااا في متل… 	normal
سؤال اللواء عماد عثمان عاملّك واحد خليفاني بالعرض وموجّعك كتير لحتى كل يوم بتغرّد عنو من الوجع   	abusive
الجزمة مكانه الحقيقي جبينك 	abusive
ياسعاتو حاج تهاجم وتلج علينا في عيل عم تعيش عيلتا من هل دوله بقى حاج تزايد علينا خلاص خيي هاجم السعوديه… 	normal
اكيد مصلحتو اهم من مصلحة البلد هيدا جبران باسيل لم ولن يتغير والآتي اعظم	normal
نصيحة ببلاش عندك نقص كتير بال لازم تصير تاخد كل يوم وأول ثلاث اشهر ثلاث مرات بالنهار قبل الاكل وبدون ماء 	normal
هذا قضاء عادل نمثل أمامه جميعنا بشرف أما القاضي المسيس فمصيره السجن 	normal
يا وائل كلام جبران باسيل خاطىء وغير مقبول هو وزير في حكومة بيانها يقول ان إسرائيل هي عدو وليس من واجب…	normal
شو رأيك تاخد نفس الوفد وتروح على فنزويلا، وسلامي الى الرفيق مادوروفيك تطرئلك شي بي… 	normal
نتمنى اذا كان بلقمة ما يحك باسم الدروز لانه شيخ فقط لدار خلدة ودار حضرتك لان الجاهلية لا تمثلها انت وخلدة لا… 	normal
خبر موت شخص من حركة امل و اشخاص مردة و أشخاص ما الن علاقة بس بيكرهو جبران باسيل بعد كلام السيد نصرالله يكسر الص…	normal
كمشتك رولا ياوئام عطني نصيبي انا ورولا من المصاري تبع دبي ههههههههههههههههههههههههههههههه… 	normal
ليش حتى اليوم قامت القيامة على شيخ العقل وعلى المجلس المذهبي اللي إلو من سنة وعم بيصي… 	normal
انا فينيقي عبارة تشبه في بلاهتها لو ان احدهم في المستقبل البعيد قال انا ليڤانتيني ، إنّو يا حمار الكلمة اللي كان يستعملها الاوروبي للدلالة ع منطقة واسعة كيف أخدتها انت كمعرّف اثني، عالقليلة استعمل العبارة اللي كان يستعملها اسلافك	abusive
صدقيني مش طبيعي   جلطني 	abusive
ههههههه كول هوا وزحط	abusive
الوزير جبران باسيل هو الأكفأ وهو الاقوى مسيحياً	normal
اطال الله بعمر شيخ العقل ونعتز بمشاركته في القمة 	normal
اسود منك ومن كلامك وقلبك وشكلك ما شفت لا تحكي عن القتل يا صاحب الوجه البشع وبشارك قتل الملايين من الشعب… 	abusive
السيد نصرالله ما عزز الصداقة مع شخص العماد عون والوزير جبران باسيل هي حرب تموز ووثائق ويكيليكس	normal
ان المجرم هو ابن أنيسة يا نكره بس شاطر على اهل السنة يا غبي 	abusive
مؤامرات باريس المخملية 	normal
جبران باسيل هو قليل من بشير جميل و قليل من سمير جعجع وفارس سعيد	normal
هو بيعرف ومعترف بهالشي بس هلّق المخرج هيك بدّو وهو عمبأدّي الدور بجدارة 	normal
حتى فيصل الزفت القاسم	abusive
فداك ومعك ليوم الدين 	normal
جبران باسيل ل سيإنإن أمن إسرائيل هو حق	normal
تركية قاهرتكم الله يحمي الرئيس اردوغان   	normal
وانت بول شو بتشرب يا بعير	abusive
شو هل اعلاميين كيف صايرين الحقد عاميلن قلبن متل كأنو جبران باسيل قاتلهم بيهم	normal
دميم الكلب ليس له مكان بين العرب اﻻشراف انه حثالة وأمير الشواذ والمخنثين ﻻ مرحبا به في أي مكان أو زمان… 	hate
حاجتك تغريد يا سمج والله العالم قرفتك 	abusive
وهاب أتمنى عليك يا وليد بك عدم التدخل بالتحقيق لبنان 	normal
بول بريمر الذي نهب العراق بعد الإحتلال وحل الجيش العراقي يتلقى عام في لندن حذاء الصحافي ياسر السامرائي 	normal
هيدا أكيد ما في شي حيغير وليك ح إحكي جملة خارج قناعاتي برافو عليه جبران باسيل في قصة بنك سيدروس بشك…	normal
يوم ولد ماكرون كان ميشيل عون عقيد ركن و بوتفليقة وزير خارجية و السلطان قابوس كان السلطان قابوس	normal
مصادر التيار الوطني الحر تنفي عبر ال  او تي في ما تم تداوله عبر بعض وسائل الاعلام	normal
جبران باسيل رجل دوله وطالما الجميع يعمل لطائفته فمن حقه هو ان يعمل لطائفته	normal
كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق 	abusive
وين الغلط اذا قال انه ل بيوعظ بموضوع جبران باسيل و بيقبل بالتهجم عشخص الرئيس بري بكون عم يكيل بمكيالين؟	normal
يتيم المجد يدفع لكم ملياردولار واخرتها تحطون صورته وتكتبون تميم العنز  مالكم حل اخذتم الفل… 	normal
هيك قمة بدها هيك مستويات من الحضور 	normal
لولا قانون النسبيه يللي جبران باسيل عرابه ما كنتوا شميتوا ريحة نائب كنتوا بقيتو…	normal
الاخبار من سوريا غارات اسرئيلية وانفجارات في اللاذقية واشتباكات مسلحة بين جناحي النظام في حماة وانسحاب أمريكي بذات…	normal
قلتلي ولاحساب طائفي وأنا معك بس فيها حساب عائلي عائلة كاملة من ثلاثة أخوة تنجح فعلاً تجربة رائدة رجاءً… 	normal
ايران هي المسؤله رقم واحد عن تعطيل العهد و مع هيك استاذ جبران باسيل مصر على مصلحه ايران مع الطبيع مع سوريا حتى تفتح…	normal
نسيت انو التيار اسمو التوحيد حتى بالهبل بيتوحدوا اي والحمرنة كمان   	hate
ممكن تفرشي سنانك قبل كل تويت بليز في ريحة خرى قوية	abusive
أقول أكل تبن بس يا لوليا   	abusive
كأنك ابنه عم دافع عنه بيخلق من شبه اربعون 	normal
ولك كول هوا يازلمه	abusive
بنعمرها سوا يلا كلنا سوا دبكة الانتصار	normal
لو كل كلب عوى ألقمته حجرًا لأصبح الصخر مثقالاً بدينار 	abusive
فعلا انك نذل وحقير 	abusive
على من تقرأ مزاميرك يا داوود؟ وليد جان بولاد أصلو تركماني لا يمكن أن تترجى أو تتمنى عليه فهو مجرم موص… 	hate
يا جماعة مش ملاحظين بعد كل جولة من الكذب والتضليل على التيار ورئيسه ،	normal
في جينزات عند الصبايا محتار اذا بصنفهن جينز مخزوق كتير أو شورت بشراريب، رح إخوَت 😎	normal
يلعن روحك يا حافظ	abusive
دخلِك يا زميلتي ، مش حضرته لرفض يسلّم حاله للدولة ؟ وتوفي شاب فداه؟ 	normal
يا أمير الشتامين أملك بالفوز مثل أمل إبليس بالجنه 	abusive
كالأسد الرابض 	normal
يا زلمي انت عندك مشكلة لازم تحلها او انو الانكليزي صعب عليك	normal
قال الشاعر ابو قاسم الشابي إذا الشعب يوما أراد الحياة فلا بد أن يستجيب القدر ولا بد لليل أن ينجلي ولا… 	normal
جبران باسيل بِنَجِّح تلات كتّاب عدل من نفس البيت و نفس البطن و نبيه بري بقدّم تلات اخوة شُهدا لَتِبقى الأرض و يِبقى العُ…	normal
هبلة اتتي صح 	abusive
تحية من قلب فلسطين الى قطر والى اميرها الشيخ تميم وليخسأ قتلة الاطفال في الشام 	abusive
ونحنا الزينات منحن عبعضنا    	normal
معرفي قطر كل عمرى داعمي الارهاب لا بد من قطع يدهم 	hate
عفواً بس شو هالتحليل الطيازي هاد من وين لوين الفلسطينية أشعلوا الثورة	abusive
صرمايه عثمان براسك وبراس يلي خلفوك وانت من يجب ان تكون في السجن يا منافق يا وضيع ولن نسكت عنك قبل ان تك… 	abusive
ما حترمك النوم الا اللواء عثمان والبوط العسكري تاعوا رح يحطوا بي تمك خليك عم تعووي قرب وقت البوط يدوس راسك 	abusive
انت رئس الفساد 	abusive
والامن متفلت، والمحاكم نهشها الفساد، ورجال الدولة خيرهم للخارج، والتلوث باعلى درجاته 	normal
نحتاج الى من يحافض على لشعب ليحيا لوطن لان لوطن اكبر من لشعب ولحكام 	normal
هذا وتوه ماعطينهم مليون عطاهم الله سقم ولسه بكره بيرجعون يردحون ويسبون عمر  ماينعدل 	abusive
حتى لو اجتمع جبران باسيل ب نتنياهو حزب الله سيصمت ف الحزب لا يستطيع ازعاج باسيل لانه بحاجة لغطاء مسيحي يشرع…	normal
هل حساب الرئاسة موقع إخباري لتصريحات جبران باسيل؟	normal
الرئيس نبيه بري ومن يمثل	normal
هذا العالم مليئ بالتُرّهات ما منستاهل جبران باسيل 	normal
هاد نفسه بيآمن بعزرائيل	normal
طز فيك وفيهم إذا حاببهن كثير ظب كلاكيشك وروح او بقلك خذ الزرد معك وفل 	abusive
تسلم يا قائد دايما بتحط النقط عالحروق سلطة فاسدة وعاهرة سلبوا ونهبوا البلد 	hate
نطالب بسحب المليار ونصف من لبنان ردا على تصريح جبران باسيل	normal
جبران باسيل وصولي مريض بجنون العظمة نستعد يعمل ايا شي ايا شي للوصول إلى الرئاسة ومن بعدها مستعد يعمل أيا شي ليكبر و…	abusive
كول هوا هاد الحكي كذب	abusive
هوي مختار مش قادر يعمل بضيعتو وااااك واااااااك وااااااااك 	normal
بس بلبنان ممكن نقول عن حدا انو مشكلجي وزعوري ووِسخ بس خامتو طيبة 😎 	normal
وهاب لمن يهلل لوديعة قطر عليه ان يعلم أن الوديعة مربحة لمن يودعها لأن فائدتها عالية وهي ليست هبة كما اعتقد البعض… 	normal
أود أن أسأل سماحتكم، كيف تحدد نوعية العلاقة أو ما هو تشخيصكم للعلاقة القائمة بينكم وبين الحليف ووزير الخارجية ورئيس…	normal
خليك ببرميل الزبالة يا وهيدا بلوك هههه 😎	abusive
قال رسول الله صلى الله عليه وسلم من سب أصحابي فعليه لعنة الله والملائكة والناس أجمعين، لا يقبل الله منه صرفا ولا عدلا	normal
أجل واحد بيرفض كذب الكفار والتاني بيرفض كذب الإمبريالية	normal
يجب أن يعلم الجميع أن الشجرة المثمرة ترشق دائما بالحجارة	normal
بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو	abusive
لا هيدي ولا هيدي بس تبطل انت تحكي وتختفي ساعتا بصير عنا وطن ساعتا 	normal
طبعا الرفيقة أسماء من عضام الرقبة و الرد من باب المونة فقط لا غيراي نعم	normal
